user,word,timestamp,word_type
Madhu,ton,06-03-2024 21:53,3_science_LS1
Madhu,law,06-03-2024 21:56,1k_most_used
Madhu,cut,06-03-2024 21:56,3_science_LS1
Madhu,ewe,06-03-2024 21:57,3_science_LS1
Madhu,dig,06-03-2024 21:57,3_science_LS1
Madhu,win,06-03-2024 21:57,1k_most_used
Madhu,put,06-03-2024 21:58,3_science_LS1
Madhu,net,06-03-2024 21:58,3_science_LS1
Madhu,wee,06-03-2024 21:58,3_science_LS1
Madhu,end,06-03-2024 21:58,3_science_LS1
Madhu,way,06-03-2024 21:59,3_science_LS1
Madhu,bat,06-03-2024 22:01,3_science_LS1
Madhu,pot,06-03-2024 22:02,3_science_LS1
Madhu,gaz,06-03-2024 22:03,3_science_LS1
Madhu,pen,06-03-2024 22:05,3_science_LS1
Madhu,cut,06-03-2024 22:05,3_science_LS1
Madhu,pot,06-03-2024 22:06,3_science_LS1
Madhu,bee,06-03-2024 22:09,3_science_LS2
Madhu,fod,06-03-2024 22:12,3_science_LS1
Madhu,bon,06-03-2024 22:13,3_science_LS2
Madhu,rub,06-03-2024 22:13,1k_most_used
Madhu,aid,06-03-2024 22:13,3_science_LS1
Madhu,yea,06-03-2024 22:15,3_science_LS1
Madhu,ara,06-03-2024 22:17,3_science_LS1
Madhu,sot,06-03-2024 22:19,3_science_LS1
Madhu,odd,06-03-2024 22:20,3_science_LS1
Madhu,raw,06-03-2024 22:31,3_science_LS1
Madhu,yet,06-03-2024 22:39,1k_most_used
Madhu,few,06-03-2024 22:40,3_science_LS2
Madhu,ods,06-03-2024 22:40,3_science_LS1
Madhu,mab,06-03-2024 22:41,3_science_LS1
Madhu,mae,06-03-2024 22:43,3_science_LS2
Madhu,cur,06-03-2024 22:46,3_science_LS1
Madhu,buy,06-03-2024 22:48,1k_most_used
Madhu,web,06-03-2024 22:52,3_science_LS1
Madhu,try,06-03-2024 22:52,1k_most_used
Madhu,dry,12-03-2024 17:14,1k_most_used
Madhu,hub,12-03-2024 17:15,3_science_LS1
Madhu,juice,12-03-2024 22:10,3_science_LS2
Madhu,sue,14-03-2024 16:19,3_science_LS2
Madhu,gen,14-03-2024 16:19,3_science_LS1
Madhu,boy,14-03-2024 16:19,1k_most_used
Madhu,eta,14-03-2024 16:21,3_science_LS2
Madhu,awe,14-03-2024 16:21,3_science_LS1
Madhu,leaf,15-03-2024 20:08,3_science_LS1
Madhu,also,15-03-2024 20:09,3_science_LS1
Madhu,like,15-03-2024 20:10,3_science_LS1
Madhu,left,15-03-2024 20:12,3_science_LS2
Madhu,soft,15-03-2024 20:13,3_science_LS1
Madhu,moon,15-03-2024 20:14,1k_most_used
Madhu,best,15-03-2024 20:17,1k_most_used
Madhu,many,16-03-2024 09:50,3_science_LS1
Madhu,list,16-03-2024 09:51,3_science_LS1
